name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,1255,,,27,0,,poi,0,-77.04517284180632,38.897630133378854,,589.0,,0.737650779712,0.737650779712
,1256,,,26,0,,poi,0,-77.04772460169961,38.89756756765881,,590.0,,2.520261981056,2.520261981056
,1257,,,15,0,,poi,0,-77.04525694556959,38.90010129060012,,591.0,,6.5544141403200005,6.5544141403200005
,1258,,,27,0,,poi,0,-77.04518227499065,38.89915764574969,,592.0,,8.620385282943998,8.620385282943998
,1259,,,26,0,,poi,0,-77.04907525762208,38.89706122090674,,593.0,,0.07427098176000001,0.07427098176000001
,1260,,,27,0,,poi,0,-77.04641058049941,38.89755376847845,,594.0,,0.8813489835520001,0.8813489835520001
,1261,,,26,0,,poi,0,-77.04859668879244,38.897874997758656,,595.0,,0.8615433884159999,0.8615433884159999
,1262,,,27,0,,poi,0,-77.04468588464452,38.897575105709905,,596.0,,3.0562508994239996,3.0562508994239996
,1263,,,27,0,,poi,0,-77.04583770034175,38.89809264276798,,597.0,,1.9805595136,1.9805595136
,1264,,,26,0,,poi,0,-77.04920477545238,38.898966492270944,,598.0,,25.4683915222464,2.1767856001920003
,1265,,,26,0,,poi,0,-77.04859692115895,38.89755892013073,,599.0,,0.908581676864,0.908581676864
,1266,,,27,0,,poi,0,-77.04634907642226,38.89755337386692,,600.0,,0.9308629713919999,0.9308629713919999
,1267,,,26,0,,poi,0,-77.04826302041825,38.89715209766271,,601.0,,0.762515412736,0.762515412736
,1268,,,26,0,,poi,0,-77.04860454001985,38.89769768110208,,602.0,,1.017512450112,1.017512450112
,1269,,,14,0,,poi,0,-77.048595107565,38.90055321541942,,603.0,,0.9483112701504,0.081052245312
,1270,,,26,0,,poi,0,-77.04807739650731,38.89806705013592,,604.0,,29.628438377548804,1.452374430272
,1271,,,27,0,,poi,0,-77.04613704157853,38.898567755659926,,605.0,,9.589621594912,9.589621594912
