node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry
7669,-96.64609,43.5473981,10,10,2,,,,residential,POINT (-96.64609 43.5473981)
7670,-96.6314503,43.5481015,10,10,2,,,,residential,POINT (-96.6314503 43.5481015)
7671,-96.7557741,43.4717829,10,10,2,,,,residential,POINT (-96.7557741 43.4717829)
7672,-96.7543834,43.473769,10,10,0,,,,residential,POINT (-96.7543834 43.473769)
7673,-96.7821743,43.4754248,10,10,0,,,,residential,POINT (-96.7821743 43.4754248)
7674,-96.7821807,43.475326,10,10,0,,,,residential,POINT (-96.7821807 43.475326)
7675,-96.7821903,43.4741741,10,10,0,,,,residential,POINT (-96.7821903 43.4741741)
7676,-96.7798561,43.4729244,10,10,0,,,,residential,POINT (-96.7798561 43.4729244)
7677,-96.7798672,43.4721652,10,10,0,,,,residential,POINT (-96.7798672 43.4721652)
7678,-96.7798875,43.4703831,10,10,0,,,,residential,POINT (-96.7798875 43.4703831)
7679,-96.7798985,43.4695402,10,10,0,,,,residential,POINT (-96.7798985 43.4695402)
7680,-96.7778836,43.469549,10,10,0,,,,residential,POINT (-96.7778836 43.469549)
7681,-96.7778752,43.4703374,10,10,0,,,,residential,POINT (-96.7778752 43.4703374)
7682,-96.7815815,43.4703588,10,10,0,,,,residential,POINT (-96.7815815 43.4703588)
7683,-96.7816522,43.472904,10,10,0,,,,residential,POINT (-96.7816522 43.472904)
7684,-96.7816335,43.4721848,10,10,0,,,,residential,POINT (-96.7816335 43.4721848)
7685,-96.7779279,43.4721659,10,10,0,,,,residential,POINT (-96.7779279 43.4721659)
7686,-96.8303668,43.5016194,10,10,2,,,,residential,POINT (-96.8303668 43.5016194)
7687,-96.8327324,43.5353597,10,10,0,,,,residential,POINT (-96.8327324 43.5353597)
7688,-96.8315891,43.5353597,10,10,0,,,,residential,POINT (-96.8315891 43.5353597)
7689,-96.8327242,43.5337538,10,10,0,,,,residential,POINT (-96.8327242 43.5337538)
7690,-96.8351516,43.5299408,10,10,0,,,,residential,POINT (-96.8351516 43.5299408)
7691,-96.8359365,43.5298743,10,10,2,,,,residential,POINT (-96.8359365 43.5298743)
7692,-96.8350515,43.5329113,10,10,0,,,,residential,POINT (-96.8350515 43.5329113)
7693,-96.8003837,43.5601534,10,10,2,,,,residential,POINT (-96.8003837 43.5601534)
7694,-96.8053972,43.558911,10,10,0,,,,residential,POINT (-96.8053972 43.558911)
7695,-96.8043852,43.5604705,10,10,0,,,,residential,POINT (-96.8043852 43.5604705)
7696,-96.8026536,43.5614943,10,10,0,,,,residential,POINT (-96.8026536 43.5614943)
7697,-96.8017744,43.5587903,10,10,2,,,,residential,POINT (-96.8017744 43.5587903)
7698,-96.8017394,43.5607517,10,10,2,,,,residential,POINT (-96.8017394 43.5607517)
7699,-96.8059455,43.5728854,50,50,0,,,,tertiary,POINT (-96.8059455 43.5728854)
7700,-96.8059774,43.5707424,50,50,2,,,,unclassified,POINT (-96.8059774 43.5707424)
7701,-96.8010299,43.5728881,50,50,0,,,,tertiary,POINT (-96.8010299 43.5728881)
7702,-96.8010299,43.5718278,50,50,2,,,,unclassified,POINT (-96.8010299 43.5718278)
7703,-96.6537457,43.5346215,50,50,0,,,,tertiary,POINT (-96.6537457 43.5346215)
7704,-96.6800518,43.4958112,10,10,0,,,,residential,POINT (-96.6800518 43.4958112)
7705,-96.681844,43.4958144,10,10,0,,,,residential,POINT (-96.681844 43.4958144)
7706,-96.7231157,43.4751375,10,10,0,,,,residential,POINT (-96.7231157 43.4751375)
7708,-96.7313101,43.4740335,10,10,0,,,,residential,POINT (-96.7313101 43.4740335)
7709,-96.7324508,43.4740228,10,10,2,,,,residential,POINT (-96.7324508 43.4740228)
7710,-96.7771903,43.4794207,50,50,0,,,,tertiary,POINT (-96.7771903 43.4794207)
7711,-96.7771965,43.4802537,50,50,0,,,,tertiary,POINT (-96.7771965 43.4802537)
7712,-96.7771986,43.4805455,50,50,0,,,,tertiary,POINT (-96.7771986 43.4805455)
7713,-96.7772025,43.4810788,50,50,0,,,,tertiary,POINT (-96.7772025 43.4810788)
7714,-96.7772079,43.4818144,50,50,0,,,,tertiary,POINT (-96.7772079 43.4818144)
7715,-96.7772652,43.4886361,50,50,0,,,,tertiary,POINT (-96.7772652 43.4886361)
7716,-96.7767851,43.4818106,10,10,2,,,,residential,POINT (-96.7767851 43.4818106)
7717,-96.7744958,43.4818456,10,10,0,,,,residential,POINT (-96.7744958 43.4818456)
7718,-96.7744086,43.4812501,10,10,2,,,,residential,POINT (-96.7744086 43.4812501)
7719,-96.7749558,43.4818456,10,10,2,,,,residential,POINT (-96.7749558 43.4818456)
7720,-96.7751811,43.4835738,10,10,2,,,,residential,POINT (-96.7751811 43.4835738)
7721,-96.7804704,43.4794284,10,10,0,,,,residential,POINT (-96.7804704 43.4794284)
7722,-96.7804704,43.4792065,10,10,0,,,,residential,POINT (-96.7804704 43.4792065)
7723,-96.782407,43.4815965,10,10,2,,,,residential,POINT (-96.782407 43.4815965)
7724,-96.7818612,43.4816786,10,10,0,,,,residential,POINT (-96.7818612 43.4816786)
7725,-96.7807762,43.4818417,10,10,0,,,,residential,POINT (-96.7807762 43.4818417)
7726,-96.780508,43.4810866,10,10,0,,,,residential,POINT (-96.780508 43.4810866)
7727,-96.7793815,43.4810839,10,10,0,,,,residential,POINT (-96.7793815 43.4810839)
7728,-96.7780672,43.4810808,10,10,0,,,,residential,POINT (-96.7780672 43.4810808)
7729,-96.7780564,43.4812968,10,10,2,,,,residential,POINT (-96.7780564 43.4812968)
7730,-96.7793654,43.481542,10,10,2,,,,residential,POINT (-96.7793654 43.481542)
7731,-96.7757122,43.4806156,10,10,2,,,,residential,POINT (-96.7757122 43.4806156)
7732,-96.7804896,43.4802769,10,10,0,,,,residential,POINT (-96.7804896 43.4802769)
7733,-96.7819589,43.4913021,10,10,2,,,,residential,POINT (-96.7819589 43.4913021)
7734,-96.7576628,43.4905532,10,10,2,,,,residential,POINT (-96.7576628 43.4905532)
7735,-96.8405295,43.5438542,50,50,0,,,,primary,POINT (-96.8405295 43.5438542)
7736,-96.8405298,43.5449182,10,10,0,,,,residential,POINT (-96.8405298 43.5449182)
7737,-96.8406639,43.5459097,10,10,0,,,,residential,POINT (-96.8406639 43.5459097)
7738,-96.8409285,43.5468644,10,10,0,,,,residential,POINT (-96.8409285 43.5468644)
7739,-96.8436341,43.545385,10,10,0,,,,residential,POINT (-96.8436341 43.545385)
7740,-96.8357107,43.5446281,10,10,0,,,,residential,POINT (-96.8357107 43.5446281)
7741,-96.8344469,43.5446377,10,10,0,,,,residential,POINT (-96.8344469 43.5446377)
7742,-96.8337702,43.5448085,10,10,0,,,,residential,POINT (-96.8337702 43.5448085)
7743,-96.8329121,43.5454598,10,10,0,,,,residential,POINT (-96.8329121 43.5454598)
7744,-96.8316502,43.5459552,10,10,0,,,,residential,POINT (-96.8316502 43.5459552)
7745,-96.8307683,43.5459632,50,50,0,,,,secondary,POINT (-96.8307683 43.5459632)
7746,-96.8341408,43.5455403,10,10,2,,,,residential,POINT (-96.8341408 43.5455403)
7747,-96.8432818,43.5463102,10,10,0,,,,residential,POINT (-96.8432818 43.5463102)
7748,-96.7767813,43.5638571,50,50,0,,,,unclassified,POINT (-96.7767813 43.5638571)
7749,-96.7678484,43.6085854,50,50,0,,,,unclassified,POINT (-96.7678484 43.6085854)
7750,-96.7678121,43.6086465,50,50,0,,,,unclassified,POINT (-96.7678121 43.6086465)
7751,-96.7678059,43.6086866,50,50,0,,,,unclassified,POINT (-96.7678059 43.6086866)
7752,-96.7680546,43.6088575,50,50,0,,,,unclassified,POINT (-96.7680546 43.6088575)
7753,-96.7682741,43.6087245,50,50,0,,,,unclassified,POINT (-96.7682741 43.6087245)
7754,-96.7680698,43.6085168,50,50,0,,,,unclassified,POINT (-96.7680698 43.6085168)
7755,-96.7680281,43.6085133,50,50,0,,,,unclassified,POINT (-96.7680281 43.6085133)
7756,-96.7674003,43.6082184,50,50,0,,,,unclassified,POINT (-96.7674003 43.6082184)
7757,-96.7672855,43.6090683,50,50,0,,,,unclassified,POINT (-96.7672855 43.6090683)
7758,-96.6635065,43.5472794,10,10,2,,,,residential,POINT (-96.6635065 43.5472794)
7759,-96.6434634,43.5199975,10,10,2,,,,residential,POINT (-96.6434634 43.5199975)
7760,-96.6793084,43.4869401,10,10,0,,,,residential,POINT (-96.6793084 43.4869401)
7761,-96.6793116,43.4861088,10,10,0,,,,residential,POINT (-96.6793116 43.4861088)
7762,-96.6793064,43.485329,10,10,0,,,,residential,POINT (-96.6793064 43.485329)
7763,-96.6792889,43.4844653,10,10,0,,,,residential,POINT (-96.6792889 43.4844653)
7764,-96.6792718,43.4835974,10,10,0,,,,residential,POINT (-96.6792718 43.4835974)
7765,-96.7394902,43.4883445,10,10,2,,,,residential,POINT (-96.7394902 43.4883445)
7766,-96.7898387,43.5224806,50,50,0,,,,tertiary,POINT (-96.7898387 43.5224806)
7767,-96.7941897,43.5600085,10,10,0,,,,residential,POINT (-96.7941897 43.5600085)
7768,-96.7936964,43.5600045,10,10,2,,,,residential,POINT (-96.7936964 43.5600045)
7769,-96.7941853,43.5593738,10,10,0,,,,residential,POINT (-96.7941853 43.5593738)
7770,-96.7935838,43.5593776,10,10,2,,,,residential,POINT (-96.7935838 43.5593776)
7771,-96.7664077,43.4729911,10,10,2,,,,residential,POINT (-96.7664077 43.4729911)
7772,-96.7388548,43.5708495,50,50,2,,,,unclassified,POINT (-96.7388548 43.5708495)
7773,-96.7451871,43.5717796,50,50,0,,,,unclassified,POINT (-96.7451871 43.5717796)
7774,-96.67112,43.5163253,10,10,2,,,,residential,POINT (-96.67112 43.5163253)
7775,-96.6433409,43.5126443,10,10,0,,,,residential,POINT (-96.6433409 43.5126443)
7776,-96.6444554,43.5076895,10,10,0,,,,residential,POINT (-96.6444554 43.5076895)
7777,-96.7530267,43.4727332,10,10,2,,,,residential,POINT (-96.7530267 43.4727332)
7778,-96.7815761,43.4695745,10,10,0,,,,residential,POINT (-96.7815761 43.4695745)
7779,-96.7779274,43.4728813,10,10,0,,,,residential,POINT (-96.7779274 43.4728813)
7780,-96.6646013,43.4956256,10,10,0,,,,residential,POINT (-96.6646013 43.4956256)
7781,-96.6646129,43.4947994,10,10,0,,,,residential,POINT (-96.6646129 43.4947994)
